id,symbol,# of Res Gene was in
HGNC:2093,CLTCL1,2
HGNC:7879,CNOT3,2
HGNC:1858,CNTRL,2
HGNC:2197,COL1A1,2
HGNC:17440,COP1,2
HGNC:23720,CREB3L2,2
HGNC:2432,CSF1,2
HGNC:2553,CUL3,2
HGNC:10637,CXCL10,2
HGNC:2701,DCC,2
HGNC:2735,DDX10,2
HGNC:2747,DDX6,2
HGNC:2891,DKK1,2
HGNC:2979,DNMT3B,2
HGNC:3012,DPYD,2
HGNC:16077,DUSP22,2
HGNC:3072,DUSP6,2
HGNC:3076,DUSP9,2
HGNC:3115,E2F3,2
HGNC:3229,EGF,2
HGNC:1232,EGLN1,2
HGNC:3250,EIF1AX,2
HGNC:3284,EIF4A2,2
HGNC:3319,ELF4,2
HGNC:23114,ELL,2
HGNC:3327,ELN,2
HGNC:1316,EML4,2
HGNC:3374,EPAS1,2
HGNC:3386,EPHA2,2
HGNC:3390,EPHA7,2
HGNC:3419,EPS15,2
HGNC:3488,ETS1,2
HGNC:3512,EXT1,2
HGNC:3513,EXT2,2
HGNC:12691,EZR,2
HGNC:25568,FANCI,2
HGNC:16510,FBXO31,2
HGNC:3616,FCGR2A,2
HGNC:3618,FCGR2B,2
HGNC:3619,FCGR3A,2
HGNC:18507,FCRL4,2
HGNC:18562,FEV,2
HGNC:3676,FGF2,2
HGNC:3697,FGR,2
HGNC:19124,FIP1L1,2
HGNC:17069,FNBP1,2
HGNC:3785,FNTB,2
HGNC:6106,FOXP3,2
HGNC:16971,FRS2,2
HGNC:3973,FSTL3,2
HGNC:4095,GADD45A,2
HGNC:4096,GADD45B,2
HGNC:4169,GAS7,2
HGNC:4174,GATA6,2
HGNC:28453,GID4,2
HGNC:4378,GMPS,2
HGNC:15465,GPHN,2
HGNC:4595,GRM3,2
HGNC:4716,H1-2,2
HGNC:4718,H1-4,2
HGNC:4713,H19,2
HGNC:4733,H2AC6,2
HGNC:4765,H3-3B,2
HGNC:4768,H3C3,2
HGNC:18437,HAVCR2,2
HGNC:4853,HDAC2,2
HGNC:14063,HDAC4,2
HGNC:13744,HERPUD1,2
HGNC:4880,HEY1,2
HGNC:4913,HIP1,2
HGNC:4933,HLA-C,2
HGNC:4947,HLA-DRA,2
HGNC:4977,HLF,2
HGNC:5010,HMGA1,2
HGNC:5101,HOXA11,2
HGNC:5102,HOXA13,2
HGNC:5109,HOXA9,2
HGNC:5123,HOXC11,2
HGNC:5125,HOXC13,2
HGNC:5134,HOXD11,2
HGNC:5136,HOXD13,2
HGNC:5258,HSP90AB1,2
HGNC:16969,HSPH1,2
HGNC:5439,IFNGR1,2
HGNC:13177,IKZF2,2
HGNC:13178,IKZF3,2
HGNC:6006,IL21R,2
HGNC:6021,IL6ST,2
HGNC:6062,ING1,2
HGNC:6066,INHBA,2
HGNC:6091,INSR,2
HGNC:5358,IRF8,2
HGNC:6171,ITK,2
HGNC:28917,JAZF1,2
HGNC:4021,KDSR,2
HGNC:6308,KEL,2
HGNC:16636,KIF1B,2
HGNC:6324,KIF5B,2
HGNC:37212,KLLN,2
HGNC:15840,KMT2B,2
HGNC:30767,KNSTRN,2
HGNC:6476,LAG3,2
HGNC:6513,LASP1,2
HGNC:6514,LATS1,2
HGNC:6515,LATS2,2
HGNC:6528,LCP1,2
HGNC:6551,LEF1,2
HGNC:6597,LIFR,2
HGNC:6642,LMO2,2
HGNC:6679,LPP,2
HGNC:30991,LRIG3,2
HGNC:6734,LYL1,2
HGNC:6742,LZTR1,2
HGNC:6852,MAP3K13,2
HGNC:6859,MAP3K7,2
HGNC:6919,MBD4,2
HGNC:21163,MDC1,2
HGNC:29633,MDS2,2
HGNC:7027,MERTK,2
HGNC:7059,MGMT,2
HGNC:21086,MIB1,2
HGNC:31595,MIR218-1,2
HGNC:7125,MLF1,2
HGNC:7128,MLH3,2
HGNC:7134,MLLT1,2
HGNC:16063,MLLT10,2
HGNC:7138,MLLT6,2
HGNC:4979,MNX1,2
HGNC:14334,MRTFA,2
HGNC:18585,MSI2,2
HGNC:7372,MSMB,2
HGNC:7373,MSN,2
HGNC:7381,MST1R,2
HGNC:7436,MTHFR,2
HGNC:7508,MUC1,2
HGNC:7547,MYBL1,2
HGNC:31104,MYO18A,2
HGNC:7629,NACA,2
HGNC:7671,NCOA4,2
HGNC:7672,NCOR1,2
HGNC:7673,NCOR2,2
HGNC:7795,NFKB2,2
HGNC:14906,NIN,2
HGNC:7838,NKX3-1,2
HGNC:7884,NOTCH4,2
HGNC:2874,NQO1,2
HGNC:23063,NUDT15,2
HGNC:8059,NUMA1,2
HGNC:8064,NUP214,2
HGNC:28958,NUP93,2
HGNC:8134,OMD,2
HGNC:8575,PAFAH1B2,2
HGNC:8590,PAK1,2
HGNC:8592,PAK3,2
HGNC:8632,PBX1,2
HGNC:8647,PCBP1,2
HGNC:8727,PCM1,2
HGNC:8748,PCSK7,2
HGNC:8763,PDCD4,2
HGNC:15580,PDE4DIP,2
HGNC:8816,PDPK1,2
HGNC:8845,PER1,2
HGNC:8910,PGR,2
HGNC:15514,PICALM,2
HGNC:8972,PIK3C2B,2
HGNC:8973,PIK3C2G,2
HGNC:8977,PIK3CD,2
HGNC:9045,PLAG1,2
HGNC:9077,PLK1,2
HGNC:19699,PLK2,2
HGNC:9211,POU2AF1,2
HGNC:9221,POU5F1,2
HGNC:14375,PPP1R15A,2
HGNC:9304,PPP2R2A,2
HGNC:9343,PRCC,2
HGNC:14000,PRDM16,2
HGNC:22950,PREX2,2
HGNC:9377,PRKAA2,2
HGNC:9380,PRKACA,2
HGNC:9393,PRKCA,2
HGNC:9413,PRKDC,2
HGNC:9142,PRRX1,2
HGNC:9527,PSIP1,2
HGNC:9586,PTCH2,2
HGNC:9589,PTENP1,2
HGNC:9645,PTPN12,2
HGNC:9646,PTPN13,2
HGNC:9650,PTPN2,2
HGNC:9666,PTPRC,2
HGNC:21100,QKI,2
HGNC:17677,RABEP1,2
HGNC:9813,RAD23B,2
HGNC:9824,RAD52,2
